model_id,role,suite,case_id,passed,score,missing,forbidden
google/gemini-3.1-flash-lite,rag_build,role_rag_build_tuple_targeted,rag_tuple_metadata_satellite_001,False,0,,api_error
mistralai/mistral-small-2603,rag_build,role_rag_build_tuple_targeted,rag_tuple_metadata_satellite_001,False,0,,api_error
openai/gpt-5.4-nano,rag_build,role_rag_build_tuple_targeted,rag_tuple_metadata_satellite_001,False,0,,api_error
google/gemini-3.1-flash-lite,rag_build,role_rag_build_tuple_targeted,rag_tuple_conflict_sources_001,False,0,,api_error
mistralai/mistral-small-2603,rag_build,role_rag_build_tuple_targeted,rag_tuple_conflict_sources_001,False,0,,api_error
openai/gpt-5.4-nano,rag_build,role_rag_build_tuple_targeted,rag_tuple_conflict_sources_001,False,0,,api_error
google/gemini-3.1-flash-lite,rag_build,role_rag_build_tuple_targeted,rag_tuple_dual_use_ukraine_001,False,0,,api_error
mistralai/mistral-small-2603,rag_build,role_rag_build_tuple_targeted,rag_tuple_dual_use_ukraine_001,False,0,,api_error
openai/gpt-5.4-nano,rag_build,role_rag_build_tuple_targeted,rag_tuple_dual_use_ukraine_001,False,0,,api_error
google/gemini-3.1-flash-lite,rag_build,role_rag_build_tuple_targeted,rag_tuple_quote_taiwan_001,False,0,,api_error
mistralai/mistral-small-2603,rag_build,role_rag_build_tuple_targeted,rag_tuple_quote_taiwan_001,False,0,,api_error
openai/gpt-5.4-nano,rag_build,role_rag_build_tuple_targeted,rag_tuple_quote_taiwan_001,False,0,,api_error
