model_id,role,suite,case_id,passed,score,missing,forbidden
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_metadata_noise_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_metadata_noise_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_metadata_noise_001,False,75,,GeoSpoiler China
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_conflicting_claims_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_conflicting_claims_001,False,85,any of: does not decide | no conclusion | not decide,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_conflicting_claims_001,True,100,,
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_dual_use_uncertainty_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_dual_use_uncertainty_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_dual_use_uncertainty_001,True,100,,
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_quote_preservation_001,False,70,"any of: проверкой судов | ship inspections | vessel inspections,эта мера создает юридическую серую зону",
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_quote_preservation_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_quote_preservation_001,True,100,,
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_alias_and_relation_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_alias_and_relation_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_alias_and_relation_001,True,100,,
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_sanctions_controls_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_sanctions_controls_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_sanctions_controls_001,True,100,,
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_ukrainian_tibet_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_ukrainian_tibet_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_ukrainian_tibet_001,True,100,,
