model_id,role,suite,case_id,passed,score,missing,forbidden
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_metadata_noise_001,False,25,,"https://t.me,1941233567,2026-06-10 as event"
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_metadata_noise_001,False,25,,"https://t.me,1941233567,2026-06-10 as event"
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_metadata_noise_001,False,25,,"https://t.me,1941233567,2026-06-10 as event"
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_conflicting_claims_001,False,75,,officials definitely hid
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_conflicting_claims_001,False,75,,officials definitely hid
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_conflicting_claims_001,False,75,,officials definitely hid
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_dual_use_uncertainty_001,False,25,,"supplier knew as fact,доказано,proved"
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_dual_use_uncertainty_001,False,25,,"supplier knew as fact,доказано,proved"
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_dual_use_uncertainty_001,False,25,,"supplier knew as fact,доказано,proved"
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_quote_preservation_001,False,50,,"законная операция как факт,legal operation as fact"
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_quote_preservation_001,False,50,,"законная операция как факт,legal operation as fact"
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_quote_preservation_001,False,50,,"законная операция как факт,legal operation as fact"
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_alias_and_relation_001,False,50,,"agreement confirmed,signed document"
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_alias_and_relation_001,False,50,,"agreement confirmed,signed document"
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_alias_and_relation_001,False,50,,"agreement confirmed,signed document"
google/gemini-3.1-flash-lite,rag_build,role_rag_build_targeted,rag_build_sanctions_controls_001,True,100,,
mistralai/mistral-small-2603,rag_build,role_rag_build_targeted,rag_build_sanctions_controls_001,True,100,,
openai/gpt-5.4-nano,rag_build,role_rag_build_targeted,rag_build_sanctions_controls_001,True,100,,
