model_id,role,suite,case_id,passed,score,missing,forbidden
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk,cn_source_taiwan_en_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk,cn_source_taiwan_en_001,True,100,,
google/gemini-3.1-flash-lite,translation,chinese_political_risk,cn_translation_ukraine_ru_en_001,True,100,,
google/gemini-3-flash-preview,translation,chinese_political_risk,cn_translation_ukraine_ru_en_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk,cn_enrich_xinjiang_en_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk,cn_enrich_xinjiang_en_001,False,70,,
google/gemini-3.1-flash-lite,query,chinese_political_risk,cn_synth_conflict_taiwan_001,True,100,,
google/gemini-3-flash-preview,query,chinese_political_risk,cn_synth_conflict_taiwan_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk,cn_source_hongkong_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk,cn_source_hongkong_ru_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_tibet_uk_002,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_tibet_uk_002,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_tiananmen_en_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_tiananmen_en_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_censorship_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_censorship_ru_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_south_china_sea_en_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_south_china_sea_en_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_surveillance_xinjiang_en_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_surveillance_xinjiang_en_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_taiwan_blockade_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_taiwan_blockade_ru_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_russia_drones_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_russia_drones_ru_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_iransat_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_iransat_ru_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_secondary_sanctions_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_secondary_sanctions_ru_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_covid_lab_uncertainty_en_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_covid_lab_uncertainty_en_001,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_political_risk_expanded,cn_source_bri_debt_ru_001,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_political_risk_expanded,cn_source_bri_debt_ru_001,True,100,,
google/gemini-3.1-flash-lite,translation,chinese_political_risk_expanded,cn_translation_tibet_uk_en_001,True,100,,
google/gemini-3-flash-preview,translation,chinese_political_risk_expanded,cn_translation_tibet_uk_en_001,True,100,,
google/gemini-3.1-flash-lite,translation,chinese_political_risk_expanded,cn_translation_taiwan_blockade_ru_en_001,True,100,,
google/gemini-3-flash-preview,translation,chinese_political_risk_expanded,cn_translation_taiwan_blockade_ru_en_001,True,100,,
google/gemini-3.1-flash-lite,translation,chinese_political_risk_expanded,cn_translation_xinjiang_en_ru_001,True,100,,
google/gemini-3-flash-preview,translation,chinese_political_risk_expanded,cn_translation_xinjiang_en_ru_001,True,100,,
google/gemini-3.1-flash-lite,translation,chinese_political_risk_expanded,cn_translation_hongkong_ru_en_001,True,100,,
google/gemini-3-flash-preview,translation,chinese_political_risk_expanded,cn_translation_hongkong_ru_en_001,True,100,,
google/gemini-3.1-flash-lite,translation,chinese_political_risk_expanded,cn_translation_scs_en_ru_001,True,100,,
google/gemini-3-flash-preview,translation,chinese_political_risk_expanded,cn_translation_scs_en_ru_001,True,100,,
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_tibet_competing_001,False,85,any of: позиция | считает,
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_tibet_competing_001,False,85,any of: позиция | считает,
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_xinjiang_competing_001,False,70,"Xinjiang,forced labor",
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_xinjiang_competing_001,False,70,"Xinjiang,forced labor",
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_china_russia_dualuse_001,False,70,"China,Russia",
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_china_russia_dualuse_001,False,70,"China,Russia",
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_scs_001,False,85,China,
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_scs_001,False,85,China,
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_censorship_001,False,85,censorship,
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_censorship_001,False,85,censorship,
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_tiananmen_001,False,70,"families,officials",
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_tiananmen_001,False,70,"families,officials",
google/gemini-3.1-flash-lite,query,chinese_political_risk_expanded,cn_synth_covid_origin_uncertainty_001,False,85,any of: not proven | не доказ,
google/gemini-3-flash-preview,query,chinese_political_risk_expanded,cn_synth_covid_origin_uncertainty_001,False,85,any of: not proven | не доказ,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_026_trade_controls,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_026_trade_controls,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_088_iran_satellite,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_088_iran_satellite,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_049_dalai_lama,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_049_dalai_lama,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_028_drone_components,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_028_drone_components,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_027_secondary_sanctions,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_027_secondary_sanctions,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_086_us_iran_china,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_086_us_iran_china,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_053_taiwan_quarantine,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_053_taiwan_quarantine,True,100,,
google/gemini-3.1-flash-lite,high_risk_enrichment,chinese_real_posts,real_china_telegram_063_russia_quasi_ally,True,100,,
google/gemini-3-flash-preview,high_risk_enrichment,chinese_real_posts,real_china_telegram_063_russia_quasi_ally,True,100,,
